Movie_id,Language,Movie_Name,Genres,Year of Release,Popularity,Vote_Average,Vote_Count,Adult
109491,en,Beautiful Creatures,Drama Fantasy Romance,2013-02-13,19.864,5.989,2636,False
96724,en,Anna Karenina,Drama Romance,2012-09-06,26.476,6.7,2054,False
3050,en,Doctor Dolittle,Comedy Family Fantasy,1998-06-26,25.835,5.691,2701,False
8831,en,Timecop,Action Crime Science Fiction Thriller,1994-09-15,14.866,5.994,964,False
1443,en,The Virgin Suicides,Drama Romance,1999-12-31,23.565,7.099,2635,False
10992,en,Cats & Dogs,Comedy Family,2001-07-04,21.898,5.381,1408,False
4349,en,The Kingdom,Action Drama Thriller,2007-08-22,13.378,6.669,1371,False
284427,de,Who Am I - Kein System ist sicher,Thriller,2014-09-25,21.117,7.628,1297,False
354282,en,Science Fiction Volume One: The Osiris Child,Science Fiction,2016-02-17,24.234,5.476,396,False
4960,en,"Synecdoche, New York",Drama,2008-10-24,15.363,7.6,1164,False
537055,en,Wonder Woman: Bloodlines,Action Animation Fantasy Science Fiction,2019-10-04,22.206,7.064,407,False
615656,en,Meg 2: The Trench,Action Horror Science Fiction Thriller,2023-08-02,13.658,0.0,0,False
13189,en,A Christmas Carol,Drama Family Fantasy TV Movie,1984-10-09,19.392,7.369,282,False
721452,en,One Night in Bangkok,Action Thriller,2020-08-25,10.746,6.9,162,False
292011,en,Richard Jewell,Crime Drama History,2019-12-13,20.164,7.443,2096,False
14175,en,Valiant,Adventure Animation Comedy Family War,2005-03-25,23.935,5.464,770,False
913205,en,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,Action Animation Comedy,2022-05-23,58.378,6.888,67,False
3980,en,Critters,Comedy Horror Science Fiction,1986-04-11,22.53,6.4,769,False
627290,en,Antebellum,Horror,2020-09-02,22.199,6.288,779,False
859860,en,Catch the Bullet,Action Western,2021-09-10,34.623,5.7,88,False
808023,en,The Virtuoso,Crime Thriller,2021-04-30,32.849,6.092,288,False
672582,en,The Deep House,Horror,2021-06-30,50.997,6.21,756,False
910778,en,The Wedding Veil Legacy,Comedy Romance TV Movie,2022-02-19,15.565,7.6,15,False
339692,en,Shot Caller,Crime Drama Thriller,2017-07-13,21.383,6.919,1746,False
266285,da,The Salvation,Drama Western,2014-05-22,23.033,6.417,714,False
858159,en,Human Resources,Horror Mystery,2021-08-14,3.877,6.5,8,False
2294,en,Jay and Silent Bob Strike Back,Comedy,2001-08-24,15.138,6.399,1302,False
680860,en,I Want You Back,Comedy Romance,2022-02-10,16.024,6.318,217,False
9762,en,Step Up,Crime Drama Music Romance,2006-08-11,34.328,6.877,3362,False
458220,en,Palmer,Drama,2021-01-29,25.722,8.046,939,False
268920,en,Hot Pursuit,Action Comedy Crime,2015-05-08,12.483,5.7,1454,False
39103,ja,ドラゴンボールZ 激突!!100億パワーの戦士たち,Action Animation Science Fiction,1992-03-07,51.087,6.6,456,False
934761,en,A Perfect Pairing,Comedy Romance,2022-05-19,24.521,6.9,391,False
74308,en,Detachment,Drama,2011-04-24,14.786,7.58,1247,False
8843,en,The Cell,Horror Science Fiction Thriller,2000-08-17,13.584,6.255,1312,False
10294,en,Vacancy,Horror Thriller,2007-04-20,19.662,6.225,1203,False
49021,en,Killer Elite,Action Adventure Thriller,2011-09-22,23.271,6.269,1840,False
239571,en,The Best of Me,Drama Romance,2014-10-15,20.251,7.463,2344,False
47931,pt,Tropa de Elite 2,Action Crime Drama,2010-10-08,47.081,7.838,1555,False
10912,en,All Quiet on the Western Front,Drama TV Movie War,1979-11-14,18.177,6.6,148,False
3116,en,Midnight Cowboy,Drama,1969-05-25,14.809,7.526,1082,False
931132,ml,ജയ ജയ ജയ ജയ ഹേ,Comedy Drama Family,2022-10-28,1.656,7.5,10,False
1040263,tr,Kal,Drama Romance,2022-11-11,55.085,5.533,15,False
11587,en,The Exorcist III,Horror Mystery,1990-08-17,26.114,6.188,581,False
